Accuracy,0.525
Precision,0.5,0.3125,1.0,0.379310344828,0.875,1.0,1.0,0.75,0.666666666667,1.0
Recall,0.75,0.833333333333,0.0833333333333,0.916666666667,0.583333333333,0.0833333333333,0.0833333333333,0.5,0.833333333333,0.583333333333
Confusion Matrix
BIG,CAT,FAVOURITE,HOUSE,MORE,MOTHER,MOVIE,RED,SMALL,SWEETHEART
9.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0
0.0,10.0,8.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,11.0,0.0,1.0,7.0,1.0,1.0,2.0
0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
