Accuracy,0.14364640884
Precision,0.113636363636,0.333333333333,0.5,nan,nan,1.0,1.0,0.146341463415,nan,nan
Recall,0.789473684211,0.0555555555556,0.0555555555556,0.0,0.0,0.111111111111,0.0555555555556,0.333333333333,0.0,0.0
Confusion Matrix
BIG,CAT,FAVOURITE,HOUSE,MORE,MOTHER,MOVIE,RED,SMALL,SWEETHEART
15.0,13.0,13.0,14.0,14.0,10.0,13.0,12.0,14.0,14.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
